R.FileName,R.Condition,R.Replicate,MedianNormalizationFactor,normalization_outlier
XTT001_EVOSE...0_S3-H7_1_1609,cancer,1,0.5155947426183525,no
XTT001_EVOSE...7_S3-A2_1_1616,cancer,2,1.0591833515074907,no
XTT001_EVOSE...2_S3-D2_1_1621,cancer,3,0.8983100104379599,no
XTT001_EVOSE...9_S3-F2_1_1632,cancer,4,1.4922755934081122,no
XTT001_EVOSE...4_S3-C2_1_1637,cancer,5,1.4134715447616304,no
XTT001_EVOSE...1_S3-H2_1_1644,cancer,6,1.4964896648942867,no
XTT001_EVOSE...6_S3-B7_1_1649,cancer,7,0.4986067165106863,no
XTT001_EVOSE...3_S3-F7_1_1656,cancer,8,1.2193043721855368,no
XTT001_EVOSE...8_S3-G2_1_1661,cancer,9,1.146347994008582,no
XTT001_EVOSE...5_S3-D7_1_1668,cancer,10,1.365751825712458,no
XTT001_EVOSE...0_S3-A7_1_1673,cancer,11,1.382083748866953,no
XTT001_EVOSE...7_S3-B2_1_1680,cancer,12,1.423812354537127,no
XTT001_EVOSE...2_S3-C7_1_1685,cancer,13,1.204995973080349,no
XTT001_EVOSE...9_S3-E2_1_1692,cancer,14,0.6450123698272181,no
XTT001_EVOSE...4_S3-E7_1_1697,cancer,15,0.9125427821748777,no
XTT001_EVOSE...5_S3-G7_1_1604,cancer,16,1.402713722325732,no
XTT001_EVOSE...7_S3-A2_1_1759,cancer,17,1.4458351991036116,no
XTT001_EVOSE...2_S3-D2_1_1764,cancer,18,0.5446372020684539,no
XTT001_EVOSE...4_S3-C2_1_1776,cancer,19,1.0092943917505068,no
XTT001_EVOSE...7_S3-B2_1_1819,cancer,20,1.1136517600229634,no
XTT001_EVOSE...9_S3-F2_1_1771,control,1,1.074765301166087,no
XTT001_EVOSE...1_S3-H2_1_1783,control,2,0.6201730220227003,no
XTT001_EVOSE...6_S3-B7_1_1788,control,3,1.3878219872765505,no
XTT001_EVOSE...3_S3-F7_1_1795,control,4,0.9909766141284764,no
XTT001_EVOSE...8_S3-G2_1_1800,control,5,1.0348330085073616,no
XTT001_EVOSE...5_S3-D7_1_1807,control,6,0.7400505859331145,no
XTT001_EVOSE...0_S3-A7_1_1812,control,7,1.630233628510581,no
XTT001_EVOSE...2_S3-C7_1_1824,control,8,0.9867279937550713,no
XTT001_EVOSE...9_S3-E2_1_1831,control,9,0.7157318948790046,no
XTT001_EVOSE...4_S3-E7_1_1836,control,10,1.0350403473115537,no
XTT001_EVOSE...5_S3-G7_1_1747,control,11,0.9902916626705713,no
XTT001_EVOSE...0_S3-H7_1_1752,control,12,1.3795282574502665,no
XTT001_EVOSE...9_S3-D2_1_1863,control,13,0.7537162472522665,no
XTT001_EVOSE...1_S3-A2_1_1868,control,14,0.9434467168535045,no
XTT001_EVOSE...6_S3-C2_1_1875,control,15,0.915046110773992,no
XTT001_EVOSE...3_S3-G2_1_1880,control,16,0.6466211706538347,no
XTT001_EVOSE...8_S3-E2_1_1890,control,17,0.5062152789684395,no
XTT001_EVOSE...0_S3-F2_1_1895,control,18,1.1800687863489083,no
XTT001_EVOSE...7_S3-H2_1_1902,control,19,0.6028984748535052,no
XTT001_EVOSE...4_S3-B2_1_1907,control,20,0.4907266739059284,no
